long_name,name,state,fines,standard_loan_weeks,ILS,website,
Mount Barker Community Library,Mount Barker,sa,no,?,SirsiDynix Symphony,,
Mount Gambier Library Service,Mount Gambier,sa,?,?,SirsiDynix Symphony,,
Murray Bridge Library Service,Murray Bridge,sa,?,?,SirsiDynix Symphony,,
Naracoorte Lucindale Council ,Naracoorte Lucindale,sa,?,4,SirsiDynix Symphony,,
Northern Areas Council ,Northern Areas,sa,?,4,SirsiDynix Symphony,,
Norwood Payneham & St Peters Library Service ,Norwood Payneham and St Peters,sa,?,4,SirsiDynix Symphony,,
Onkaparinga Library Service ,Onkaparinga,sa,?,4,SirsiDynix Symphony,,
District Council of Orroroo Carrieton ,Orroroo/Carrieton,sa,?,?,SirsiDynix Symphony,,
Peterborough Council,Peterborough,sa,?,4,SirsiDynix Symphony,,
Playford Library Service ,Playford,sa,?,?,SirsiDynix Symphony,,
Port Adelaide Enfield Library Service,Port Adelaide Enfield,sa,yes,4,SirsiDynix Symphony,,
Port Augusta Library Service,Port Augusta,sa,?,?,SirsiDynix Symphony,,
Port Lincoln Library Service,Port Lincoln,sa,no_unconfirmed,?,SirsiDynix Symphony,,
Port Pirie Regional Library Service ,Port Pirie,sa,no_unconfirmed,4,SirsiDynix Symphony,,
Prospect Public Library Service,Prospect,sa,?,?,SirsiDynix Symphony,,
Renmark Paringa Public Library Service,Renmark Paringa,sa,?,?,SirsiDynix Symphony,,
Robe Public Library Service,Robe,sa,no_unconfirmed,4,SirsiDynix Symphony,,
Roxby Downs Community Library Service,Roxby Downs,sa,?,?,SirsiDynix Symphony,,
Salisbury Library Service ,Salisbury,sa,yes,4,SirsiDynix Symphony,,
Southern Mallee District Council ,Southern Mallee,sa,?,4,SirsiDynix Symphony,,
District Council of Streaky Bay ,Streaky Bay,sa,?,?,SirsiDynix Symphony,,
Tatiara District Council ,Tatiara,sa,?,4,SirsiDynix Symphony,,
Tea Tree Gully Library Service,Tea Tree Gully,sa,yes,4,SirsiDynix Symphony,,
District Council of Tumby Bay ,Tumby Bay,sa,?,?,SirsiDynix Symphony,,
Unley Library Service ,Unley,sa,yes,4,SirsiDynix Symphony,,
Victor Harbor Public Library Service,Victor Harbor,sa,?,4,SirsiDynix Symphony,,
Wakefield Regional Council ,Wakefield,sa,?,?,SirsiDynix Symphony,,
Walkerville Public Library Service,Walkerville,sa,?,4,SirsiDynix Symphony,,
Wattle Range Council ,Wattle Range,sa,?,4,SirsiDynix Symphony,,
West Torrens Library Service ,West Torrens,sa,no,4,SirsiDynix Symphony,,
Whyalla Public Library Service,Whyalla,sa,no,?,SirsiDynix Symphony,,
Wudinna District Council ,Wudinna,sa,?,?,SirsiDynix Symphony,,
Yankalilla Library Service,Yankalilla,sa,no,4,SirsiDynix Symphony,,
Yorke Peninsula Council ,Yorke Peninsula,sa,?,?,SirsiDynix Symphony,,
